iter	MultiClass
0	1.887585848
1	1.65032095
2	1.471602475
3	1.331817405
4	1.217522236
5	1.131202358
6	1.060178429
7	0.9952016314
8	0.9447748153
9	0.9023677165
10	0.8701245188
11	0.8331590736
12	0.8000391319
13	0.767867974
14	0.7447036111
15	0.7303495859
16	0.7070838458
17	0.6908175372
18	0.6833437375
19	0.6749981054
20	0.6620242687
21	0.6510398671
22	0.6382507519
23	0.6278404223
24	0.6177940538
25	0.6065409043
26	0.604820139
27	0.5990079313
28	0.5939436058
29	0.5839547958
30	0.5784484206
31	0.5720030124
32	0.5681212039
33	0.5669557891
34	0.5620442391
35	0.5579483544
36	0.5551220052
37	0.5482460592
38	0.5481962891
39	0.5438210797
40	0.5380358846
41	0.5318935597
42	0.5265495436
43	0.5245451162
44	0.5203480817
45	0.5156659446
46	0.5145213843
47	0.5113533158
48	0.5099753047
49	0.5045227039
50	0.5032320787
51	0.5001230758
52	0.5000290456
53	0.499628783
54	0.4971093085
55	0.4940730829
56	0.4921477573
57	0.4893007711
58	0.4884074753
59	0.4859300987
60	0.4834970041
61	0.4801337989
62	0.4767188201
63	0.4746333137
64	0.4728625061
65	0.4703493569
66	0.4696062835
67	0.4669504956
68	0.4663596161
69	0.4634239538
70	0.4612713626
71	0.4592640054
72	0.4554778539
73	0.4537954838
74	0.4525875846
75	0.4484264349
76	0.4479579788
77	0.4468733204
78	0.4445252734
79	0.4414840469
80	0.4379723306
81	0.4341996622
82	0.4330776402
83	0.429985613
84	0.4272288717
85	0.4253715702
86	0.422582531
87	0.4217853347
88	0.4196034269
89	0.4175416448
90	0.4150429317
91	0.4144194139
92	0.4107183311
93	0.4083373588
94	0.407005831
95	0.4018856773
96	0.4005610321
97	0.3984980909
98	0.3960156567
99	0.3944529367
100	0.3931362842
101	0.3906833139
102	0.3898768636
103	0.38741579
104	0.3858081047
105	0.3842217438
106	0.3819360482
107	0.3798133442
108	0.3789567143
109	0.378055557
110	0.3764234466
111	0.3751554294
112	0.3728932509
113	0.3709912789
114	0.3694839727
115	0.367640157
116	0.3653953704
117	0.3632137519
118	0.3617402805
119	0.3606885803
120	0.3595220256
121	0.3577661183
122	0.3558879281
123	0.3544502111
124	0.3535168862
