iter	Passed	Remaining
405	7341	10741
406	7358	10721
407	7375	10702
408	7392	10681
409	7410	10663
410	7428	10645
411	7445	10626
412	7465	10610
413	7484	10594
414	7503	10576
415	7521	10559
416	7539	10540
417	7557	10522
418	7575	10504
419	7592	10485
420	7610	10467
421	7627	10447
422	7645	10429
423	7664	10411
424	7681	10392
425	7698	10373
426	7716	10354
427	7732	10334
428	7750	10315
429	7768	10298
430	7789	10283
431	7807	10265
432	7825	10247
433	7842	10227
434	7860	10209
435	7878	10190
436	7896	10173
437	7917	10158
438	7933	10138
439	7951	10119
440	7967	10100
441	7985	10081
442	8001	10060
443	8017	10040
444	8035	10021
445	8053	10003
446	8073	9987
447	8093	9972
448	8113	9957
449	8132	9939
450	8150	9921
451	8168	9903
452	8188	9887
453	8207	9870
454	8227	9854
455	8245	9837
456	8264	9819
457	8283	9802
458	8302	9785
459	8320	9767
460	8342	9753
461	8362	9738
462	8381	9720
463	8399	9703
464	8418	9685
465	8435	9666
466	8452	9647
467	8470	9629
468	8489	9611
469	8509	9595
470	8526	9576
471	8543	9556
472	8561	9539
473	8580	9521
474	8600	9505
475	8618	9487
476	8637	9470
477	8655	9451
478	8673	9434
479	8692	9416
480	8711	9399
481	8727	9379
482	8745	9361
483	8763	9343
484	8779	9322
485	8797	9304
486	8813	9284
487	8833	9267
488	8852	9250
489	8870	9232
490	8887	9213
491	8906	9196
492	8924	9178
493	8943	9161
494	8962	9143
495	8982	9127
496	9000	9109
497	9018	9090
498	9037	9073
499	9056	9056
500	9078	9041
501	9105	9032
502	9122	9013
503	9139	8994
504	9157	8976
505	9175	8957
506	9192	8938
507	9209	8919
508	9227	8900
509	9246	8883
510	9264	8865
511	9282	8846
512	9299	8828
513	9317	8810
514	9335	8791
515	9354	8774
516	9371	8755
517	9390	8737
518	9407	8718
519	9426	8701
520	9444	8682
521	9462	8665
522	9480	8646
523	9499	8629
524	9518	8611
525	9536	8593
526	9553	8574
527	9572	8557
528	9590	8539
529	9606	8518
530	9624	8500
531	9642	8482
532	9662	8465
533	9679	8447
534	9695	8427
535	9713	8408
536	9731	8390
537	9748	8371
538	9764	8351
539	9781	8332
540	9797	8312
541	9813	8292
542	9829	8272
543	9846	8254
544	9864	8235
545	9881	8216
546	9899	8198
547	9914	8177
548	9932	8159
